run_id,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,auc,log_loss
lOBYWUG72,GBM_4_AutoML_20190421_233433,0.003495291753427986,0.05912099249359728,0.003495291753427986,0.012431652492186132,0.005637648315876197,,
lOBYWUG72,GBM_2_AutoML_20190421_232600,0.0036673493130779883,0.06055864358684058,0.0036673493130779883,0.010528818652061423,0.0066251239997952285,,
lOBYWUG72,XRT_1_AutoML_20190421_232600,0.0036840188795788783,0.0606961191475936,0.0036840188795788783,0.014907830565662975,0.006035465751523815,,
lOBYWUG72,GBM_1_AutoML_20190421_233433,0.003784559304501867,0.0615187719684152,0.003784559304501867,0.017714375308829727,0.006001472589142189,,
lOBYWUG72,GBM_1_AutoML_20190422_000108,0.003929152139554129,0.06268294935270778,0.003929152139554129,0.015734027370043858,0.006482717181044899,,
lOBYWUG72,GBM_2_AutoML_20190421_233433,0.004125881263643935,0.06423302315510251,0.004125881263643935,0.02356410540782678,0.006934261017246013,,
lOBYWUG72,GBM_3_AutoML_20190421_234613,0.004134002419278267,0.06429620843625436,0.004134002419278267,0.011097708695472988,0.006507815198943558,,
lOBYWUG72,GBM_1_AutoML_20190421_234613,0.0041367699028651865,0.06431772619476832,0.0041367699028651865,0.014909878051802897,0.006404439598368548,,
lOBYWUG72,GBM_2_AutoML_20190422_000108,0.004147877329843915,0.06440401641081024,0.004147877329843915,0.01639871685572017,0.006901571060155226,,
lOBYWUG72,GBM_4_AutoML_20190421_234613,0.004175475585966882,0.06461792000650347,0.004175475585966882,0.012245027491214882,0.006471810226032716,,
lOBYWUG72,GBM_1_AutoML_20190421_232600,0.004193159138243675,0.06475460708122377,0.004193159138243675,0.017707024485776296,0.00693974857274476,,
lOBYWUG72,XRT_1_AutoML_20190421_233433,0.00419409146410643,0.06476180559640404,0.00419409146410643,0.016285248151593615,0.006062541080071499,,
lOBYWUG72,GBM_3_AutoML_20190422_000108,0.004245931490826564,0.06516081253964352,0.004245931490826564,0.01199497658014397,0.007098715525945652,,
lOBYWUG72,XRT_1_AutoML_20190421_234613,0.004329748460641475,0.06580082416384672,0.004329748460641475,0.01831640209527351,0.0064852471022725285,,
lOBYWUG72,XRT_1_AutoML_20190422_000108,0.004549208541638918,0.06744782088132216,0.004549208541638918,0.017109943459815702,0.006888015452568171,,
